Item Code,Item Name
145,COULI FLOWER PER KG
146,CHERRY TOMATO
147,DRUM STICK
148,BEANS ARICOT
149,DOUBLE BEANS
150,GROUND NUT LOCAL
151,GROUND NUT HY BRID
152,GINGER
153,GINGER NEW
154,GINGER OOTY
155,HERALIKAI
156,LADDY'S FINGER
157,LITTLE GOURD
158,LIME LOCAL
159,Sugar can(small) 1 No.
160,MUSHROOM BUTTON
161,MUSHROOM MILKY
162,MUSHROOM OYSTER
163,ONION ECONOMY
164,BRINJAL WHITE ROUND
165,ONION SMALL Economy
166,ONION SAMBAR
167,PEAS NATI
168,ALASINA KAI
169,PEAS DHARWAD
170,PEAS JABALPUR
171,ASH PUMPKIN
172,PUMPKIN SWEET
173,PUMPKIN JAPAN
174,POTATO MEDIUM
175,POTATO BIG
176,POTATO SMALL
177,POTATO BABY
178,SWEET POTATO
179,RADDISH
180,RADDISH - RED
181,SPONGE GOURD
182,SNAKE GOURD
183,SNAKE SMALL
184,SHAM GADDE
185,SPRING ONION
186,SPRING ONION CLEANED
187,CORN
188,SWEET CORN CLEANED
189,SWEET CORN SEED SPOK
190,TOMATO
191,THOGARIKAI
192,MANGO RAW OMBLET
193,MANGO RAW
194,JUKUNI
195,BANANNA COOKING
196,AVAREKAI
197,AVAREBELE
198,AVARE SEEDS
199,BRUCOLI
200,KAKADI
201,CORIONDER
202,CURRY LEAVES
203,DHANTU
204,MINT
205,MENTHIYA
206,PALAK
207,PARVAL
208,SABBAKKAI
209,MOLAKE KALU
210,HESARU KALU
211,BATANI KALU
212,BALE DINDU
213,BASALE GREENS
214,GARLIC 100 GRAM BOX
215,GARLIC
216,GARLIC CLEANED
217,CHIKADI KAI
218,KNOL KHOL
219,AREVE GREEN
220,EGG
221,CHAKKOTA GREENS
222,APPLE NEWZEALAND GALA
223,POTATO PACK
224,chilk avera
225,COWPEA KAI
226,BABY CORN
227,BABY CORN CLEAN
228,Apple Ber
229,BERRY GOLDEN
230,Onion cleaned
231,OOTY BERRY
232,SANDOWS GREEN BERRY
233,BERRY SOFT
234,GREEN BERRY
235,Maize
236,CHERRY FRUIT 100 gram
237,CHERRY KASHMIR
238,CASHEWNUT100 gram
239,DATES 200 GM
240,KIMIA DATES
241,DATES SEEDLESS
242,DRY DATES 200 GM
243,BADAMI 100 GM
244,DRY GRAPES 100GMS
245,JELLY
246,SUGAR CANE RED AND BLACK
247,KF 2 litre
