_id,name_en,name_kn
91,GRAPES INDIAN RED GLOBE,ದ್ರಾಕ್ಷಿ ಇಂಡಿಯನ್ ರೆಡ್ ಗ್ಲೋಬ್
92,CORN BAILED 120GMS,ಜೋಳ ಬೇಲ್ಡ್ 120 ಗ್ರಾಮ್ಸ್
93,CORN BAILED 300GMS,ಜೋಳ ಬೇಲ್ಡ್ 300 ಗ್ರಾಮ್ಸ್
94,Raw Almond,ಹಸಿ ಬಾದಾಮಿ
95,BED FRUIT ALASU,ಇಚಲು ಹಣ್ಣು
96,SOUTH AFRICA SOFT BERRY,ಸೌತ್ ಆಫ್ರಿಕಾ ಬೇರಿ
97,On Juice 200ML,ಜ್ಯೂಸ್ 200ml
98,MANGO BADAMI BOX,ಮ್ಯಾಂಗೊ ಬಾದಾಮಿ ಬಾಕ್ಸ್
99,On Juice Apple 1Lts,ಆಪಲ್ ಜ್ಯೂಸ್ 1Lts
100,N Juice 200 ml,ಎನ್ ಜ್ಯೂಸ್ 200 ಮಿಲೀ
101,AMLA,ಬೆಟ್ಟದ ನೆಲ್ಲಿಕಾಯಿ
102,BEANS,ಹುರಳೀಕಾಯಿ
103,BEANS FRUIT,ಸ್ಥಳೀಯ ಹುರುಳೀಕಾಯಿ
104,KF 500 ml,ಕೆ ಎಫ್ 500 ಮಿಲಿ
105,Raif Beans,ಹಣ್ಣು ಹುರಳೀಕಾಯಿ
106,MUSKIN JOLA,ಹುರುಳಿಕಾಯಿ ಬಿಡಿಸಿದ್ಧು
107,BRINJAL,ಬದನೆಕಾಯಿ
108,BRINJAL WHITE,ಬದನಕಾಯಿ (ಬಿಳಿ)
109,BRINJAL ROUND,ಬದನಕಾಯಿ (ಗುಂಡು)
110,BRINJAL BOTTLE,ಬಾಟಲ್ ಬದನೆ
111,BRINJAL MANGALORE,ಮಂಗಳೂರು ಬದನೆಕಾಯಿ
112,BEET ROOT,ಬೀಟ್‍ರೂಟ್
113,SUVARNA ROOT,ಸುವರ್ಣಗಡ್ಡೆ
114,BITTER GOURD,ಹಾಗಲಕಾಯಿ
115,BOTTLE GOURD,ಸೋರೆಕಾಯಿ
116,CHOW CHOW,ಸೀಮೆಬದನೆಕಾಯಿ
117,CUCUMBER LOCAL,ಸೌತೆಕಾಯಿ
118,CUCUMBER NatiI,ನಾಟೀ ಸೌತೆಕಾಯಿ
119,CUCUMBER ISRAIL,ಸೌತೆಕಾಯಿ ಇಸ್ರೇಲ್
120,CUCUMBER EUROPEAN,ಯೂರೋಪಿಯನ್ ಸೌತೆಕಾಯಿ
121,CUCUMBER MANGALORE / SAMBAR,ಮಂಗಳೂರು ಸೌತೆಕಾಯಿ
122,CLUSTER BEANS,ಗೋರಿಕಾಯಿ ಗೊಂಚಲು
123,CAPSICUM,ದಪ್ಪಮೆಣಸಿನಕಾಯಿ
124,GUAVA (Red),ಸೀಬೆ (ಕೆಂಪು)
125,CAPSICUM RED / YELLOW,ದ.ಮೆ.ಕಾಯಿ ಕೆಂಪು/ಹಳದಿ
126,CHILLIES (GREEN),ಹಸಿಮೆಣಸಿನಕಾಯಿ
127,CHILLIES BAJJI,ಬಜ್ಜಿ ಮೆಣಸಿನಕಾಯಿ
128,CHILLIES CLEANED,ಶುದ್ದಗೋಳೀಸದ ಮೆಣಸಿನಕಾಯಿಗಳು
129,CHILLIES SMALL,ಚಿಕ್ಕ ಮೆಣಸಿನಕಾಯಿ
130,CARROT OOTY,ಊಟಿ ಕ್ಯಾರೇಟ್
131,CARROT DELHI,ಕ್ಯಾರಟ್ ಡೆಲ್ಲಿ
132,CARROT NATI,ನಾಟಿ ಕ್ಯಾರೇಟ್
133,COW PEA LOCAL,ಹಸು ಬಟಾಣಿ ಸ್ಥಳೀಯ
134,COW PEA LONG,ಅಲಸಂದ ಉದ್ದ
135,COCONUT BIG,ತೆಂಗಿನಕಾಯಿ ದಪ್ಪ
136,COCONUT MEDIUM,ತೆಂಗಿನಕಾಯಿ ಮಧ್ಯಮ
137,COCONUT SMALL,ತೆಂಗಿನಕಾಯಿ ಸಣ್ಣ
138,COCONUT OVER SMALL,ತೆಂಗಿನಕಾಯಿ ಅತಿ ಸಣ್ಣ
139,CABBAGE LOCAL,ಎಲೆಕೋಸು
140,CABBAGE RED,ಕೆಂಪುಎಲೆಕೋಸು
141,CABBAGE CHAINA,ಚೈನಾ ಎಲೆಕೋಸು
142,COULI FLOWER BIG,ಹೂಕೋಸು (ದಪ್ಪ) ಒಂದಕ್ಕೆ
143,COULI FLOWER MEDIMUM,ಹೂಕೋಸು (ಮಧ್ಯಮ) ಒಂದಕ್ಕೆ
144,COULI FLOWER SMALL,ಹೂಕೋಸು ಸಣ್ಣ
145,COULI FLOWER PER KG,ಹೂಕೋಸು ಸಣ್ಣ ಕೆಜಿ
146,CHERRY TOMATO,ಚೆರಿ ಟಮೋಟೊ
147,DRUM STICK,ನುಗ್ಗೇಕಾಯಿ
148,BEANS ARICOT,ಹಾರಿಕಾಟ ಬೀನ್ಸ್
149,DOUBLE BEANS,ಡಬ್ಬಲ್ ಬೀನ್ಸ್
150,GROUND NUT LOCAL,ಕಡ್ಲೆಕಾಯಿ
151,GROUND NUT HY BRID,ಹೈಬ್ರಿಡ್ ಕಡಲೇಕಾಯಿ
152,GINGER,ಹಸಿಶುಂಠಿ
153,GINGER NEW,ಹೊಸ ಶುಂಠಿ
154,GINGER OOTY,ಶುಂಠಿ ಊಟಿ
155,HERALIKAI,ಹೆರಳೀಕಾಯಿ
156,LADDY'S FINGER,ಬೆಂಡೆಕಾಯಿ
157,LITTLE GOURD,ತೋoಡೇಕಾಯಿ
158,LIME LOCAL,ನಿಂಬೆಹಣ್ಣು
